,,,,,,,,,,,,,,,,,
id,"Bulding or
Factory",Division,Section,Area,PC Name,"PC Type
PC,
NB,
WS,
Other","Maker 
& Model","Serial Number
CPU","User 
owner",OS Use,License/Free,Window License ,OS License ,"MS 
Office ",Version,"Legally 
purchase
Yes,
No,
Free","Refer Document
If Yes,
Cert,
P/O,
REQ"
124,Spindle,Spindle Assembly,ENG,Tech ENG,NB.-057,NB,X200,77HGR1S,ENG,Win7,Free,WHFJJ-RFDT9-9TTVG-64K8G-9XWW8,Win7,"Excel,PowerPoint",2007,No,
125,Spindle,Spindle Assembly,ENG,Sample Eng,BAR.-395,PC,Dell 745,-,ENG,Win7,Free,VNMT7-H3VPQ-WDHV4-HJFMJ-6MT6P,WinVistra,"Excel,Access",2013,No,
126,Spindle,Spindle Assembly,ENG,ENG W/R,BAR.-831,PC,Dell 755,-,ENG,Win7,Free,27Y4H-P4PDD-4K3TY-R4JVJ-HTXRY,WinVistra,Excel,2007,No,
127,Spindle,Spindle Assembly,ENG,1-3 C/R,BAR.-857,PC,-,-,Production,Win11,Yes,6HNJG-DTCHD-BXYKW-HRF4Q-VXMP2,Win10,-,-,-,
128,Spindle,Spindle Assembly,ENG,1-3 C/R,BAR.-855,PC,-,-,Production,Win11,Yes,NY42Y-86FQV-8BQVB-7YHV9-4JRC2,Win10,-,-,-,
129,Spindle,Spindle Assembly,Production,1-3 C/R,DIM.-554,PC,-,-,Production,Win7,Yes,KFCW9-R9NFP-6773F-BV2C9-BKH4D,Win8,-,-,-,
130,Spindle,Spindle Assembly,Production,1-3 C/R,BAR.-789,PC,-,-,Production,Win10,Yes,GD8QC-QMQQX-DD69C-PVXKK-M2HV6,Win10,-,-,-,
131,Spindle,Spindle Assembly,Production,1-3 C/R,BAR.-838,PC,Lenovo 10AX,-,Production,Win7,Free,,Win8,"Excel,Access",2007,No,
132,Spindle,Spindle Assembly,Production,1-3 C/R,BAR.-871,PC,-,-,ENG,Win11,Yes,GNKCQ-X9Q2M-XHWXM-Y8FRB-88F9C,Win10,-,-,-,
133,Spindle,Spindle Assembly,Production,1-4 C/R,BAR.-733,PC,-,-,Production,Win10,Yes,7VYFC-2H4PG-JK8J6-G2TH4-M34X3,Win10,-,-,-,
134,Spindle,Spindle Assembly,Production,1-4 C/R,BAR.-503,PC,-,-,Production,Win7,Yes,TX96N-QXH8C-WHB4R-CV3TR-K4R9C,Win10,-,-,-,
135,Spindle,Spindle Assembly,Production,1-4 C/R,BAR.-570,PC,-,-,Production,Win10,Yes,RNCV8-6J2W4-C7V9B-4F9BJ-2GYP2,Win10,Excel,2013,No,
136,Spindle,Spindle Assembly,Production,1-4 C/R,BAR.-861,PC,-,-,Production,Win10,Yes,MGPVX-NV4TC-WBGJH-YHMW8-WB49F,Win10,Excel,2013,No,
137,Spindle,Spindle Assembly,Production,1-4 C/R,BAR.-635,PC,-,-,Production,Win10,Yes,3CGY6-GCNWP-HXT83-PVMCD-G83GR,Win10,Excel,2013,No,
138,Spindle,Spindle Assembly,Production,1-4 C/R,BAR.-588,PC,-,-,Production,Win10,Yes,HYNC6-FVJQH-Y9FM7-9C8VB-HT9TR,Win10,-,-,-,
